dataset,n_train,n_feat,ptype,icl_err,icl_fit_s,icl_inf_s,best_trad,trad_err,rel_win_vs_best_trad,rel_win_vs_default_trad
kddcup09_appetency,33333,212,binary,0.16977481884493348,75.76242714458041,9.168060196770561,CAT (default),0.15430850710579888,-0.10022980605035856,-0.10022980605035856
maternal_health_risk,676,6,multiclass,0.39716939388030753,4.821747040748596,0.047053798039754194,RF (tuned + ensemble),0.44835347886225646,0.11416011561198067,0.15467957973839147
miami_housing,9184,15,regression,77680.84026163403,6.9424573050604925,0.39297061496310765,CAT (tuned + ensemble),78405.0987779658,0.009237390522047391,0.026072291290901235
online_shoppers_intention,8220,17,binary,0.06251501118219921,6.779642396503025,0.3718271255493164,XGB (tuned + ensemble),0.06445318864665817,0.030071087329508705,0.036570309902511616
physiochemical_protein,30486,9,regression,2.9427473546137066,14.139730983310276,1.5754610697428386,GBM (tuned),3.3814586840724123,0.12974026017977244,0.1536205290837956
polish_companies_bankruptcy,3940,64,binary,0.015609972821334956,7.41648883289761,0.38897999127705885,CAT (default),0.03896371220857292,0.5993715193825807,0.5993715193825807
qsar-biodeg,702,41,binary,0.05906500812298432,5.027239219347636,0.09889812469482417,GBM (tuned + ensemble),0.06701045443273689,0.11857024962766026,0.15051799505881608
seismic-bumps,1722,15,binary,0.2177659818096894,4.741834375593397,0.07551113764444983,CAT (default),0.22732062904842357,0.04203158894434896,0.04203158894434896
splice,2126,60,multiclass,0.09966935015757968,6.9668276574876575,0.2242973645528157,GBM (tuned + ensemble),0.10214073276514418,0.024195857427878893,0.09873456684261642
students_dropout_and_academic_success,2949,36,multiclass,0.5335487318785792,6.053367508782281,0.19934476746453175,CAT (tuned + ensemble),0.5406986698525379,0.013223516854422177,0.032865625815143136
superconductivity,14175,81,regression,8.937095203081718,18.479556719462078,1.6852784156799316,GBM (tuned + ensemble),9.259064302998826,0.034773394954480355,0.04580895935735806
taiwanese_bankruptcy_prediction,4546,94,binary,0.053726714176778614,9.493487358093262,0.6064879099527994,GBM (tuned + ensemble),0.05578136820661434,0.036834055812781125,0.040807212923602086
website_phishing,902,9,multiclass,0.22262164549317373,4.5722256342569985,0.08235963980356849,CAT (tuned + ensemble),0.23818849722650312,0.06535517841789916,0.11882038762173723
wine_quality,4331,12,regression,0.5943853722678291,5.719133747948541,0.15567024548848465,CAT (tuned + ensemble),0.6044300831270726,0.016618482665979033,0.04149101051387633
